Item ID,,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
4E+17,000518b8-edc9-45c9-a25a-5d2c4f19aef1,RET LCN Nebbiolo,4E+17,,35,3/10/2023,No,No,,
4E+17,000faf48-477e-4778-a66a-8365159819ca,Fennochio Spetacol Nebbiolo,4E+17,,35,2/16/2024,No,No,,
4E+17,0016ec51-80a2-4d1d-a923-94a462a82cd0,RET Lapierre Pacalet Julienas 17,4E+17,,36,6/24/2019,No,No,,
4E+17,002f4614-121c-4fa9-aa3c-e0f81858f49b,BTL Alfaro A Estate Chardonnay 18,4E+17,,42,7/20/2020,No,No,,
4E+17,003309df-a073-400a-bd3e-d6caeba407c6,BTL Tajinaste Listan Negro 17,4E+17,,45,3/29/2019,No,No,,
4E+17,003f5595-0bde-4333-aa71-7fae20834d01,Member,4E+17,,15,1/9/2019,No,No,,
4E+17,004aee49-65ab-4ece-8bf1-9ed430d334b2,RET Quintarelli Primofiore 16,4E+17,,69,12/23/2019,No,No,,
4E+17,0062e7de-540d-4a3c-9fce-1f37c10edfbe,BTL Paillard Rouge 12,4E+17,,70,12/14/2018,No,No,,
4E+17,006442a9-f6a8-469c-bd8a-2c244caf9bbe,BTL Ramey Syrah 15,4E+17,,56,12/14/2018,No,No,,
4E+17,00663245-385a-4eee-8c79-be8cd8898b84,BTL Terenzuola Merla della Miniera 15,4E+17,,65,12/14/2018,No,No,,
4E+17,007968c6-25fc-4c82-9852-fcd11907ba3f,RET St Innocent Pinot Blanc 15,4E+17,,0,9/9/2019,No,No,,
4E+17,008178c3-f6c0-4c82-b8bd-74358df337ba,WC Due Terre Rose di Frappato 21,4E+17,,22,5/1/2023,No,No,,
4E+17,008b2bdb-24c5-47ce-b6d8-77769cf4dcc5,RET Frog's Leap Pink Rose 19,4E+17,,24,7/17/2020,No,No,,
4E+17,00adb9d7-1218-4843-be59-aab97c5e49c9,RET M. Mathis Gruner Veltliner 20,4E+17,,40,7/29/2021,No,No,,
4E+17,00b7eae0-6a1e-4baf-826c-d65e14b2ce52,BTL Lapierre Morgon 18,4E+17,,72,6/7/2019,No,No,,
4E+17,00c94bff-3a70-47b9-b98a-4bf086ad4587,WC Bisci Verdicchio,4E+17,,24,2/21/2024,No,No,,
4E+17,00cc4836-2fcd-4f1a-aebd-19324fffca85,BTL Andre Clouet Rose,4E+17,,88,9/2/2019,No,No,,
4E+17,00ced734-aee3-463d-a44e-910b9a04884a,BTL Broc Valdiguie 17,4E+17,,40,9/13/2019,No,No,,
4E+17,00d00763-4482-436d-89af-a2632f438865,BTL Domaine Eden Pinot 16,4E+17,,70,12/14/2018,No,No,,
